product_name,product_price,product_image,product_url
BELT WITH LARGE LINKS,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/238/800/2/w/560/1736238800_1_1_1.jpg?ts=1571919786090,https://www.zara.com/in/en/belt-with-large-links-p01736238.html
BELT WITH ENGRAVED BUCKLE,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1736/207/800/3/w/560/1736207800_1_1_1.jpg?ts=1572430137464,https://www.zara.com/in/en/belt-with-engraved-buckle-p01736207.html
VELVET BEJEWELLED BELT,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/241/800/2/w/560/1736241800_1_1_1.jpg?ts=1570613711095,https://www.zara.com/in/en/velvet-bejewelled-belt-p01736241.html
PADDED RHINESTONE HEADBAND,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/0653/231/800/7/w/560/0653231800_1_1_1.jpg?ts=1572263965432,https://www.zara.com/in/en/padded-rhinestone-headband-p00653231.html
NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/0653/237/400/2/w/560/0653237400_1_1_1.jpg?ts=1571906638246,https://www.zara.com/in/en/nautical-cap-p00653237.html
MULTI-CHAIN NECKLACE,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/260/303/2/w/560/1856260303_1_1_1.jpg?ts=1569486077686,https://www.zara.com/in/en/multi-chain-necklace-p01856260.html
STRETCH BELT WITH CHAIN,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1856/257/303/2/w/560/1856257303_1_1_1.jpg?ts=1568121590571,https://www.zara.com/in/en/stretch-belt-with-chain-p01856257.html
HOOP EARRINGS,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4319/028/303/2/w/560/4319028303_1_1_1.jpg?ts=1564583999625,https://www.zara.com/in/en/hoop-earrings-p04319028.html
PACK OF RHINESTONE HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/301/800/7/w/560/1856301800_1_1_1.jpg?ts=1573474946272,https://www.zara.com/in/en/pack-of-rhinestone-hair-clips-p01856301.html
PACK OF RHINESTONE HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/300/808/3/w/560/1856300808_1_1_1.jpg?ts=1573467775698,https://www.zara.com/in/en/pack-of-rhinestone-hair-clips-p01856300.html
CHAIN PRINT SCARF,₹ 990.00,//static.zara.net/photos///2019/S/0/1/p/0594/209/050/2/w/560/0594209050_1_1_1.jpg?ts=1569333401641,https://www.zara.com/in/en/chain-print-scarf-p00594209.html
50 DEN METALLIC THREAD TIGHTS,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4758/200/800/2/w/560/4758200800_1_1_1.jpg?ts=1573207345021,https://www.zara.com/in/en/50-den-metallic-thread-tights-p04758200.html
DOUBLE-BUCKLE BELT,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/256/800/2/w/560/1736256800_1_1_1.jpg?ts=1571825492063,https://www.zara.com/in/en/double-buckle-belt-p01736256.html
BELT WITH SQUARE BUCKLE,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/259/800/2/w/560/1736259800_1_1_1.jpg?ts=1573207252607,https://www.zara.com/in/en/belt-with-square-buckle-p01736259.html
VELVET BELT WITH IRREGULAR BUCKLE,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/260/800/2/w/560/1736260800_1_1_1.jpg?ts=1573207250578,https://www.zara.com/in/en/velvet-belt-with-irregular-buckle-p01736260.html
WIDE BELT WITH BUCKLE,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/261/800/2/w/560/1736261800_1_1_1.jpg?ts=1573207255438,https://www.zara.com/in/en/wide-belt-with-buckle-p01736261.html
BEJEWELLED VELVET BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/1736/247/303/2/w/560/1736247303_1_1_1.jpg?ts=1571825499346,https://www.zara.com/in/en/bejewelled-velvet-belt-p01736247.html
ELASTIC RHINESTONE BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/1856/299/800/7/w/560/1856299800_1_1_1.jpg?ts=1573117510259,https://www.zara.com/in/en/elastic-rhinestone-belt-p01856299.html
SASH BELT,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/1736/214/751/2/w/560/1736214751_1_1_1.jpg?ts=1573207251367,https://www.zara.com/in/en/sash-belt-p01736214.html
ROUND EARRINGS WITH RHINESTONES,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/270/303/2/w/560/1856270303_1_1_1.jpg?ts=1569486082887,https://www.zara.com/in/en/round-earrings-with-rhinestones-p01856270.html
FAUX FUR STOLE,"₹ 2,590.00",//static.zara.net/photos///2019/I/0/1/p/3739/237/681/2/w/560/3739237681_2_6_1.jpg?ts=1572522670792,https://www.zara.com/in/en/faux-fur-stole-p03739237.html
PACK OF HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4548/258/303/2/w/560/4548258303_1_1_1.jpg?ts=1569486076350,https://www.zara.com/in/en/pack-of-hair-clips-p04548258.html
RHINESTONE TEARDROP EARRINGS,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1856/285/303/3/w/560/1856285303_1_1_1.jpg?ts=1573041246848,https://www.zara.com/in/en/rhinestone-teardrop-earrings-p01856285.html
HERRINGBONE NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/0653/229/800/2/w/560/0653229800_1_1_1.jpg?ts=1570613653177,https://www.zara.com/in/en/herringbone-nautical-cap-p00653229.html
BELT WITH BEJEWELLED BOW,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1736/246/303/7/w/560/1736246303_1_1_1.jpg?ts=1572264455135,https://www.zara.com/in/en/belt-with-bejewelled-bow-p01736246.html
FLORAL COMB,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/277/800/2/w/560/1856277800_1_1_1.jpg?ts=1570010215996,https://www.zara.com/in/en/floral-comb-p01856277.html
PACK OF PEARL BEAD AND BOW HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/S/0/1/p/4548/218/800/2/w/560/4548218800_1_1_1.jpg?ts=1566544888348,https://www.zara.com/in/en/pack-of-pearl-bead-and-bow-hair-clips-p04548218.html
BEJEWELLED METALLIC BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/4319/285/303/2/w/560/4319285303_1_1_1.jpg?ts=1570613741895,https://www.zara.com/in/en/bejewelled-metallic-belt-p04319285.html
XL CHAIN LINK BRACELET,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/1856/258/303/2/w/560/1856258303_1_1_1.jpg?ts=1570010223730,https://www.zara.com/in/en/xl-chain-link-bracelet-p01856258.html
LEATHER BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/2495/202/700/2/w/560/2495202700_1_1_1.jpg?ts=1570175998065,https://www.zara.com/in/en/leather-belt-p02495202.html
PEARL BEAD AND BOW EARRINGS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/302/800/7/w/560/1856302800_1_1_1.jpg?ts=1573117515739,https://www.zara.com/in/en/pearl-bead-and-bow-earrings-p01856302.html
FLORAL COMB,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/278/681/2/w/560/1856278681_1_1_1.jpg?ts=1570010217207,https://www.zara.com/in/en/floral-comb-p01856278.html
ANIMAL PRINT SOFT SCARF,"₹ 2,290.00",//static.zara.net/photos///2019/I/0/1/p/3739/204/042/2/w/560/3739204042_1_1_1.jpg?ts=1570175997772,https://www.zara.com/in/en/animal-print-soft-scarf-p03739204.html
CHAIN PRINT SCARF,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4758/219/705/2/w/560/4758219705_1_1_1.jpg?ts=1567098972172,https://www.zara.com/in/en/chain-print-scarf-p04758219.html
TEXTURED WEAVE SCARF,"₹ 2,290.00",//static.zara.net/photos///2019/I/0/1/p/9598/211/403/3/w/560/9598211403_1_1_1.jpg?ts=1572430150164,https://www.zara.com/in/en/textured-weave-scarf-p09598211.html
STRIPED SCARF,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4758/217/104/2/w/560/4758217104_1_1_1.jpg?ts=1567098928425,https://www.zara.com/in/en/striped-scarf-p04758217.html
PRINTED SCARF,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/0594/215/620/2/w/560/0594215620_1_1_1.jpg?ts=1568121445660,https://www.zara.com/in/en/printed-scarf-p00594215.html
WOOL BERET,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/3739/219/816/2/w/560/3739219816_1_1_1.jpg?ts=1570010209484,https://www.zara.com/in/en/wool-beret-p03739219.html
VELVET BOW HAIR CLIP,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/0653/213/305/2/w/560/0653213305_1_1_1.jpg?ts=1567695528638,https://www.zara.com/in/en/velvet-bow-hair-clip-p00653213.html
LEATHER BELT WITH BUCKLE,"₹ 1,890.00",//static.zara.net/photos///new/2019/I/0/1/p/2555/201/800/2/w/560/2555201800_1_1_1.jpg?ts=1563286199675,https://www.zara.com/in/en/leather-belt-with-buckle-p02555201.html
CHECK NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/0653/222/050/2/w/560/0653222050_1_1_1.jpg?ts=1569405954680,https://www.zara.com/in/en/check-nautical-cap-p00653222.html
DOUBLE SQUARE EARRINGS,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4548/257/303/2/w/560/4548257303_1_1_1.jpg?ts=1569402442140,https://www.zara.com/in/en/double-square-earrings-p04548257.html
HEADBAND WITH RHINESTONES AND PEARL BEADS,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4548/259/050/2/w/560/4548259050_1_1_1.jpg?ts=1571310101267,https://www.zara.com/in/en/headband-with-rhinestones-and-pearl-beads-p04548259.html
LEATHER LEOPARD PRINT BELT,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/1736/009/051/2/w/560/1736009051_1_1_1.jpg?ts=1567098309117,https://www.zara.com/in/en/leather-leopard-print-belt-p01736009.html
